season,episode,release,title,rating,description
1,1,12 Nov. 2014,Minimum Viable Product,7.8,"Richard is a computer programmer. He has to choose between a $10 million deal with Gavin Belson and a $200,000 deal with Peter Gregory, in exchange for his cooperation to make the idea of a super compressing algorithm change the world."
1,2,13 Apr. 2014,The Cap Table,7.8,"Richard hires Jared to design a business plan. Big Head is asked to work for Gavin Belson, where he discovers that Hooli has stolen the Pied Piper algorithm and calls it Nucleus. Meanwhile Richard struggles to get his money from Gregory."
1,3,20 Apr. 2014,Articles of Incorporation,8.1,"The guys find themselves in trouble with their company name when they find out it's already taken. So whilst Richard tries to find a solution, Erlich searches for a new name in another dimension of his consciousness."
1,4,27 Apr. 2014,Fiduciary Duties,7.8,"Richard drunkenly promises to make Erlich a board member, which he regrets the next morning. Big Head finds others at Hooli, who like him, have made careers out of doing nothing. Richard struggles to put Pied Piper's vision into words."
1,5,4 May 2014,Signaling Risk,8.4,"Now that Pied Piper is the official company name, Erlich wants a logotype to go with it so he hires a very unexpected artist in for the job. Meanwhile Richard gets a tighter deadline for the project after a simple mistake."
1,6,11 May 2014,Third Party Insourcing,8.5,"Richard comes across a problem in the code writing and hires Kevin, a young kid, to write the code for him."
1,7,18 May 2014,Proof of Concept,8.6,"Richard has trouble getting Pied Piper ready in time for the TechCrunch Disrupt, while Erlich realizes he slept with the wife of one of the judges of the contest."
1,8,1 Jun. 2014,Optimal Tip-To-Tip Efficiency,9.4,Pied Piper makes it to the next stage of Disrupt but runs into trouble with Hooli's presentation. The guys break out into a ridiculous argument and Richard tries to pull Pied Piper together before the big presentation.
2,1,18 Nov. 2015,Sand Hill Shuffle,8.3,Monica deals with her new boss; Richard makes a decision about the company's future.
2,2,19 Apr. 2015,Runaway Devaluation,8.0,"Richard and the guys struggle to find a backer as they face legal and financial woes. Meanwhile, an old enemy pays Richard a visit."
2,3,26 Apr. 2015,Bad Money,8.1,"While considering Gavin's proposal, Richard is approached by a billionaire."
2,4,3 May 2015,The Lady,7.9,Richard butts heads with Erlich over a prospective hire; Dinesh and Gilfoyle grow suspicious.
2,5,10 May 2015,Server Space,8.1,Gavin's interference causes Pied Piper to struggle with securing their expansion.
2,6,17 May 2015,Homicide,8.8,Monica encourages the guys to pounce on an opportunity; Erlich reconnects with a former mentee.
2,7,24 May 2015,Adult Content,8.5,"With the Pied Piper team fielding job offers, Richard faces the prospect of folding."
2,8,31 May 2015,White Hat/Black Hat,8.3,Richard accidentally sparks a feud that leads him to become paranoid about security.
2,9,7 Jun. 2015,Binding Arbitration,8.8,"Erlich demands to be put on stand as Pied Piper and Hooli enter Arbitration. Richard faces a moral dilemma now that he realizes that Hooli's claim may have successful potential. Meanwhile back at Pied Piper headquarters, Jared, Dinesh and Gilfoyle question a profound theory and its affiliation to their live stream."
2,10,14 Jun. 2015,Two Days of the Condor,9.3,"The verdict on Pied Piper's fate coincides with a startling real-life drama that makes their livestream immensely popular, and emotions run high as the gang tries to keep the company together."
3,1,29 Jun. 2016,Founder Friendly,8.2,"After being unceremoniously fired, an angry Richard faces a tough decision: accept the diminished role of CTO, or leave Pied Piper for good. Erlich takes a shine to Jack Barker, Laurie's new choice of CEO, while Dinesh and Gilfoyle weigh their options in Richard's absence. At Hooli, Gavin tries to improve his image by admitting failure, and Big Head gets wind of major changes."
3,2,1 May 2016,Two in the Box,8.1,"The new and improved Pied Piper impresses Dinesh and Gilfoyle, but worries Richard; Jared and Erlich face housing issues; Gavin suggests a controversial move."
3,3,8 May 2016,Meinertzhagen's Haversack,8.7,Richard searches for a way around Jack; Gilfoyle opens himself up to recruiters; Dinesh draws unwanted attention from a recent purchase.
3,4,15 May 2016,Maleant Data Systems Solutions,8.7,The Pied Piper guys struggle to phone it in; Erlich faces competition; Monica takes a stand; Gavin makes a decision about Nucleus.
3,5,22 May 2016,The Empty Chair,8.0,"Richard lets his ego get in the way at an interview; Dinesh, Gilfoyle and Jared misplace hardware; Erlich pitches his plans to Big Head."
3,6,29 May 2016,Bachmanity Insanity,8.2,Richard's new relationship is threatened by neuroses; Big Head and Erlich's launch party has snags; Dinesh falls for a foreign coworker.
3,7,5 Jun. 2016,To Build a Better Beta,8.4,Richard decides to test the Pied Pipper beta. Erlich finds himself in trouble.
3,8,12 Jun. 2016,Bachman's Earnings Over-Ride,8.6,"Erlich tries to be honest with Richard, who has mixed emotions about their friendship and the future of Pied Piper. Meanwhile, Jared's new company apparel turns heads but fuels yet another clash between Dinesh and Gilfoyle."
3,9,19 Jun. 2016,Daily Active Users,8.3,"Shocking stats are revealed and prompt Richard to bridge the gap between Pied Piper and its users, but Jared must go to extremes to keep everything intact. Meanwhile, Gavin tries to recapture his former glory by bringing in new talent after discovering secrets about the competition."
3,10,26 Jun. 2016,The Uptick,8.7,"Pied Piper's future is hazy, but Erlich's industry profile begins to rise, creating a moral dilemma for Richard as Dinesh's new app starts to catch on. Meanwhile, Laurie makes plans for her exit; and Gavin's pompous personality haunts his comeback at Hooli."
4,1,23 Apr. 2017,Success Failure,8.2,The guys struggle to find funding for Pied Piper's video chat app to keep up with their rapidly growing user base. Erlich faces resistance from Big Head's father. Jack steps on Gavin's toes at Hooli. Richard gets sage advice.
4,2,30 Apr. 2017,Terms of Service,8.6,Richard butts heads with Dinesh; Erlich makes a play to be involved in Jian-Yang's new app; Jared sets ground rules in his friendship with Richard; Gavin's paranoia over Jack's enthusiasm causes him to make a rash decision.
4,3,7 May 2017,Intellectual Property,8.6,Dinesh gets back to the ground while Richard continues to explore his new project. Gavin tries to come out of the new problem he has gotten himself into and interestingly the chemistry between Richard and Monica takes a new turn.
4,4,14 May 2017,Teambuilding Exercise,8.2,Sea food demo is being prepared. Big head professorship is proving beneficial to his students. And finally we get a glimpse of the insides of Gavin Belson mansion.
4,5,21 May 2017,The Blood Boy,8.1,Cracks in Richard's latest partnership become more apparent when he has to deal with an unexpected interloper; Dinesh scrambles to find a way out of his new relationship; Monica learns of surprising developments at Raviga.
4,6,28 May 2017,Customer Service,8.0,The guys struggle for funding to launch the latest iteration of Pied Piper. Erlich seeks to join the new VC firm formed by Laurie and Monica. Dinesh and Gilfoyle clash over the alpha build.
4,7,4 Jun. 2017,The Patent Troll,8.0,Richard takes on a patent troll; Gilfoyle battles a smart fridge; Jared embraces multiple identities; Erlich tries to spend time with a new crowd.
4,8,11 Jun. 2017,The Keenan Vortex,8.1,"Richard ponders a deal with the tech world's latest ""it"" boy; Jack faces setbacks."
4,9,18 Jun. 2017,Hooli-Con,8.5,The Pied Piper guys try to pull off a stealth plan at Hooli-Con.
4,10,25 Jun. 2017,Server Error,8.5,Richard finds himself in a web of lies; Jared plans his exit; Jack bets big; Gavin plots a comeback.
5,1,25 Mar. 2018,Grow Fast or Die Slow,8.0,The pressure to get things right stymies Richard and forces him to grow the company in a way he hadn't planned; Dinesh and Gilfoyle question their ability to make good choices; Gavin returns to Hooli and worries about becoming antiquated.
5,2,1 Apr. 2018,Reorientation,7.8,Richard manages a number of conflicts in his efforts to unite his new employees; Dinesh celebrates a new purchase that Gilfoyle looks to spoil; Jian-Yang goes to court; Gavin meets pushback over his signature and what it says about him.
5,3,8 Apr. 2018,Chief Operating Officer,8.3,"The COO of a world class company asks to move to Pied Piper. At the same time, Richard deals with a lawsuit from the smart fridge company that Gilfoyle hacked."
5,4,15 Apr. 2018,Tech Evangelist,7.7,"Attempting to woo a gaming company to PiperNet, Richard inadvertently angers a prized ally; Dinesh deals with a betrayal; Gavin leaves his underlings with a cryptic message; Jared gets inside information from Big Head."
5,5,22 Apr. 2018,Facial Recognition,8.1,"Overshadowed by Jared in an on-camera interview, Richard's confidence wavers further when Laurie and Monica force him to work with Eklow, a new artificial-intelligence company; Gavin questions his future beyond Hooli."
5,6,29 Apr. 2018,Artificial Emotional Intelligence,7.9,"Richard decides to help when Laurie gets in a jam, but his lack of emotional discipline threatens to backfire on Pied Piper; Gavin tries to make a deal with a stubborn partner; Dinesh relishes a win; Jared bonds with a surprising figure."
5,7,6 May 2018,Initial Coin Offering,8.0,"As Pied Piper prepares to close on their Series B funding, Richard receives some unsettling news; Gilfoyle suggests a proposition; Monica is blunt with Richard; Dinesh competes with a co-worker; Gavin tries to charm small-town America."
5,8,13 May 2018,Fifty-One Percent,9.2,"PiperNet launches, but an early success makes Monica suspicious; Richard makes a surprising move; the team races against the clock as its future is threatened."
6,1,27 Oct. 2019,Artificial Lack of Intelligence,8.3,Richard discovers his promise that Pied Piper won't collect user data is under threat; Jared longs for the past; Gilfoyle gets creative in dealing with Dinesh.
6,2,3 Nov. 2019,Blood Money,8.2,Richard meets a potential investor; Gilfoyle butts heads with HR; Gavin explores a leaner Hooli's future.
6,3,10 Nov. 2019,Hooli Smokes!,8.5,The Pied Piper team races to close a major deal; Dinesh considers being a better person; an angry Jared reluctantly helps Richard.
6,4,17 Nov. 2019,Maximizing Alphaness,7.4,Richard's authority is threatened by his former Hooli manager; Monica tries to prove her support of other women; Gavin sets his sights on the literary world.
6,5,24 Nov. 2019,Tethics,7.8,Richard fumes at Gavin's new ethical stance; Dinesh's trip turns into a nightmare; Gilfoyle and Monica work on their peer review scores.
6,6,1 Dec. 2019,RussFest,8.6,A major event puts PiperNet's capabilities to the test; Monica confronts Jian-Yang over his use of Pied Piper's name.
6,7,8 Dec. 2019,Exit Event,8.7,Richard and the Pied Piper team look to pull off a spectacular feat on the day of a big launch.
